# tx,ty,tz,qx,qy,qz,qw
3.066853,-3.168241,-0.000014,-0.000002,0.000035,-0.011384,0.999935
3.239582,-3.172149,-0.000095,0.000005,0.000149,-0.011459,0.999934
3.371449,-3.173578,0.000000,-0.000017,0.000446,-0.011158,0.999938
3.521851,-3.178731,-0.000014,-0.000006,0.000036,-0.011409,0.999935
3.799718,-3.185744,-0.000018,-0.000002,0.000165,-0.011020,0.999939
3.804369,-3.185849,-0.000018,0.000015,-0.000041,-0.011036,0.999939
4.021056,-3.191372,-0.000053,0.000004,0.000130,-0.011756,0.999931
4.165421,-3.196475,-0.000009,0.000001,-0.000150,-0.012046,0.999927
4.281860,-3.199233,-0.000028,0.000034,0.001274,-0.012187,0.999925
4.358506,-3.203266,-0.000018,0.000012,-0.000056,-0.012189,0.999926
4.416954,-3.204299,-0.000040,0.000070,0.000045,0.003292,0.999995
4.426409,-3.203659,-0.000043,-0.000748,-0.000919,0.092574,0.995705
4.577842,-3.169232,-0.000020,-0.000092,0.000071,0.095978,0.995383
4.765614,-3.132714,-0.000056,-0.000062,0.000114,0.098019,0.995185
4.815767,-3.121686,-0.000005,0.000039,-0.000050,0.164327,0.986406
4.815780,-3.121677,-0.000005,0.000037,-0.000033,0.303045,0.952976
4.811955,-3.119182,-0.000000,0.000062,0.000016,0.396744,0.917929
4.811842,-3.119142,0.000000,0.000075,0.000028,0.519396,0.854534
4.821842,-3.098693,-0.000002,0.000256,-0.000702,0.572673,0.819783
4.891231,-2.908039,-0.000034,-0.000006,-0.000005,0.572895,0.819629
4.949977,-2.745028,-0.000025,-0.000059,0.000072,0.575478,0.817817
4.960933,-2.714735,-0.000031,0.000004,0.000026,0.641185,0.767386
4.960695,-2.714818,-0.000031,0.000004,-0.000024,0.714758,0.699372
4.960697,-2.714796,-0.000031,0.000020,0.000017,0.711905,0.702275
4.960693,-2.714793,-0.000031,0.000021,0.000016,0.712063,0.702116
4.960689,-2.714788,-0.000031,0.000023,0.000016,0.712321,0.701854
4.959805,-2.710103,-0.000031,0.000066,-0.000054,0.709976,0.704225
4.958414,-2.633789,-0.000027,-0.000051,0.000043,0.710892,0.703301
4.945794,-2.382859,-0.000015,-0.000546,0.000506,0.711288,0.702900
4.945709,-2.375550,-0.000016,-0.000001,-0.000001,0.711273,0.702915
4.918588,-2.376841,-0.000015,0.000112,0.000130,0.714327,0.699812
4.743232,-2.381350,-0.000015,-0.001800,-0.000245,0.706479,0.707732
4.751215,-2.293985,0.000102,0.002997,0.000964,0.694204,0.719771
4.750682,-2.178920,-0.000000,0.000039,-0.000070,0.695511,0.718516
4.750691,-2.178654,-0.000000,0.000040,-0.000065,0.695513,0.718513
4.750691,-2.178655,-0.000000,0.000041,-0.000065,0.695520,0.718507
4.725060,-2.174486,-0.000001,0.000597,-0.000694,0.691403,0.722468
4.723917,-2.174348,-0.000001,-0.000074,-0.000168,0.691399,0.722473
4.791312,-2.177234,0.000001,0.000703,0.000171,0.691453,0.722421
4.797802,-2.007688,-0.000000,0.000056,-0.000062,0.697550,0.716536
4.799007,-1.873874,-0.000018,0.000018,0.000012,0.696268,0.717782
4.800163,-1.836027,-0.000024,0.000008,0.000046,0.696306,0.717745
